PICKUP_POSTCODE,No_Jobs,No_trips,total_trips,Latitude,Longitude
299921,14,1,15,1.326115,103.823185
299922,16,0,16,1.326159,103.822954
299923,1,0,1,1.325971,103.823504
299924,12,0,12,1.323617,103.82422
299925,39,1,40,1.323351,103.823934
299926,9,3,12,1.325865,103.823539
299927,5,0,5,1.323272,103.824148
299928,28,2,30,1.323861,103.824246
299929,19,3,22,1.324053,103.824249
299930,29,0,29,1.324689,103.823959
299931,16,0,16,1.324918,103.824024
299932,33,7,40,1.323313,103.823852
299933,23,0,23,1.323263,103.823978
299936,71,0,71,1.299509,103.837
299937,1,0,1,1.326152,103.822796
299939,3963,8681,12644,1.338223,103.832729
299940,17,209,226,1.340095,103.831843
299941,24,71,95,1.340204,103.83146
299942,47,11,58,1.339996,103.831563
299943,3,15,18,1.339741,103.832002
299944,4,29,33,1.339788,103.831666
299945,1,1,2,1.326194,103.823746
299946,12,34,46,1.33958,103.831768
299947,3,35,38,1.339295,103.832283
299948,11,32,43,1.339372,103.831871
299949,143,324,467,1.339164,103.831974
299950,6,86,92,1.338598,103.831572
299951,131,22,153,1.338283,103.831416
299952,4,2,6,1.337903,103.831354
299953,212,0,212,1.337712,103.831486
299955,0,7,7,1.337391,103.831869
299956,3,0,3,1.32623,103.822813
299957,144,24,168,1.336269,103.833805
299958,3,0,3,1.337325,103.831922
299959,17,0,17,1.336183,103.834063
299960,101,2,103,1.336946,103.832381
299961,43,21,64,1.336776,103.832587
299962,11,19,30,1.336004,103.834361
299963,23,10,33,1.336607,103.832793
299964,2,7,9,1.336437,103.832998
299965,34,3,37,1.336268,103.833204
299966,1,1,2,1.339536,103.832184
299967,7,3,10,1.3361,103.833645
299968,12,13,25,1.335959,103.83386
299969,86,18,104,1.335876,103.834085
299971,4,5,9,1.335719,103.834355
299973,67,1,68,1.335616,103.834929
299974,17,1,18,1.335595,103.835205
299975,6,1,7,1.335541,103.835646
299976,18,2,20,1.335479,103.835868
299977,2,9,11,1.335417,103.83609
299978,2,12,14,1.335683,103.83596
299979,3,80,83,1.335364,103.836456
299980,1,6,7,1.335753,103.835473
299981,12,10,22,1.335235,103.834595
299982,43,57,100,1.335357,103.836615
299983,10,7,17,1.335839,103.834831
299985,8,4,12,1.335753,103.835208
299986,9,0,9,1.337115,103.832175
300001,259,1497,1756,1.325357,103.842168
300069,414,2553,2967,1.319189,103.85057
301001,9,3,12,1.325761,103.843076
307392,0,3,3,1.337115,103.832175
307393,0,1,1,1.299509,103.837
307396,0,1,1,1.299509,103.837
307397,0,9,9,1.299509,103.837
307398,1,3,4,1.299509,103.837
307399,0,1,1,1.299509,103.837
307400,0,2,2,1.336162,103.833423
307401,0,2,2,1.324934,103.838906
307408,5,10,15,1.362419,103.854868
307412,0,27,27,1.299509,103.837
307417,51,0,51,1.299509,103.837
307418,4,2,6,1.299509,103.837
307419,4,0,4,1.299509,103.837
307420,34,0,34,1.299509,103.837
307421,50,20,70,1.299509,103.837
307422,8,0,8,1.324017,103.843571
307428,3,27,30,1.319055,103.841178
307429,3,1,4,1.319055,103.841178
307430,85,42,127,1.319055,103.841178
307431,1,4,5,1.299509,103.837
307432,20,0,20,1.318879,103.839213
307433,4,0,4,1.319055,103.841178
307434,10,0,10,1.319055,103.841178
307435,15,0,15,1.319055,103.841178
307436,19,0,19,1.319055,103.841178
307437,1,0,1,1.299509,103.837
307438,1,0,1,1.318714,103.836866
307439,19,0,19,1.318714,103.836866
307440,17,20,37,1.318714,103.836866
307441,33,34,67,1.299509,103.837
307442,2,2,4,1.299509,103.837
307443,49,10,59,1.299509,103.837
307447,75,1,76,1.318714,103.836866
307454,0,3,3,1.299509,103.837
307455,0,12,12,1.318714,103.836866
307456,2,0,2,1.299509,103.837
307458,1,0,1,1.318714,103.836866
307459,62,0,62,1.318748,103.839127
307460,7,40,47,1.318523,103.83891
307461,1,9,10,1.318857,103.839134
307462,1772,3576,5348,1.315303,103.844572
307463,80,6,86,1.315221,103.844451
307464,1724,437,2161,1.315172,103.844334
307465,1478,7,1485,1.31509,103.844232
307467,3234,133,3367,1.319705,103.845613
307468,3145,524,3669,1.319428,103.845055
307469,237,1558,1795,1.319275,103.845191
307470,4620,55731,60351,1.320287,103.845191
307472,8,0,8,1.319585,103.836392
307473,27,2,29,1.319505,103.836367
307474,8,1,9,1.319471,103.836362
307475,5,1,6,1.319471,103.836362
307476,3,16,19,1.319441,103.836347
307478,3,0,3,1.318714,103.836866
307479,174,1,175,1.321547,103.835432
307480,6,1,7,1.321512,103.835436
307481,18,29,47,1.321502,103.835466
307482,18,0,18,1.32151,103.83552
307483,10,1,11,1.321328,103.835688
307484,10,1,11,1.32142,103.83559
307485,2,0,2,1.318714,103.836866
307486,5,0,5,1.319648,103.8364
307487,0,1,1,1.318748,103.839127
307488,2,0,2,1.319623,103.836395
307489,3,0,3,1.321565,103.835366
307490,14,52,66,1.321226,103.836798
307491,3,0,3,1.321241,103.836748
307492,5,0,5,1.321193,103.836252
307493,8,0,8,1.32147,103.835658
307494,6,0,6,1.321436,103.835674
307495,4,0,4,1.321499,103.835603
307496,23,0,23,1.321554,103.835526
307497,155,0,155,1.32161,103.835468
307498,10,1,11,1.32165,103.835388
307499,29,0,29,1.321625,103.835433
307500,62,0,62,1.321605,103.835498
307501,8,0,8,1.321802,103.835636
307502,3,0,3,1.322692,103.835819
307503,16,0,16,1.3217,103.835584
307504,6,0,6,1.321665,103.83558
307505,163,83,246,1.321616,103.83567
307506,6382,34115,40497,1.321061,103.844476
307507,7,47,54,1.324229,103.842979
307508,15,7,22,1.324208,103.843035
307509,8,14,22,1.324169,103.843097
307510,5,1,6,1.324112,103.843169
307511,17,6,23,1.322791,103.839016
307512,55,114,169,1.324333,103.839039
307516,138,1,139,1.324729,103.84457
307518,0,23,23,1.32013,103.831226
307519,41,14,55,1.320322,103.830674
307520,23,0,23,1.320881,103.831008
307521,59,3,62,1.321064,103.830969
307522,40,10,50,1.321053,103.831308
307582,138,1931,2069,1.315081,103.844929
307583,16,0,16,1.315081,103.844929
307584,206,360,566,1.315081,103.844929
307585,9,681,690,1.315081,103.844929
307587,22,958,980,1.315571,103.84509
307588,33,95,128,1.315571,103.84509
307589,18,648,666,1.315573,103.845089
307590,372,367,739,1.315574,103.845089
307591,9094,2633,11727,1.317711,103.843491
307592,10,849,859,1.316794,103.844848
307593,3,162,165,1.316832,103.844857
307594,50,134,184,1.316878,103.84483
307595,6,427,433,1.316957,103.844816
307596,20,2369,2389,1.31703,103.844801
307605,2420,891,3311,1.318047,103.844687
307606,22,5309,5331,1.318071,103.844033
307607,5,261,266,1.318166,103.843961
307608,7,195,202,1.318166,103.843961
307610,1,223,224,1.318166,103.843961
307612,0,28,28,1.318166,103.843961
307614,1,166,167,1.318166,103.843961
307616,4,61,65,1.318166,103.843961
307618,5,48,53,1.318166,103.843961
307619,60,120,180,1.318166,103.843961
307621,1,46,47,1.318166,103.843961
307622,6,231,237,1.318014,103.843346
307623,80,5054,5134,1.317942,103.843306
307624,2,22,24,1.318264,103.843975
307625,0,47,47,1.318266,103.843975
307626,5,117,122,1.318268,103.843974
307627,11,240,251,1.318271,103.843973
307628,0,3,3,1.32177,103.835606
307629,0,1,1,1.321188,103.836615
307631,2,11,13,1.318281,103.843969
307632,0,188,188,1.318681,103.843452
307633,7,46,53,1.318194,103.843346
307634,4,50,54,1.318226,103.84329
307635,3,63,66,1.318264,103.843283
307636,12,103,115,1.318315,103.843229
307637,3,14,17,1.318431,103.84334
307638,25,6,31,1.318432,103.843278
307639,37,19,56,1.318301,103.843961
307640,5,19,24,1.318533,103.843226
307642,689,608,1297,1.320276,103.843517
307643,13,999,1012,1.315701,103.845042
307644,201,3110,3311,1.320286,103.842021
307645,67,1527,1594,1.321334,103.841622
307646,179,1436,1615,1.321674,103.841355
307652,94,24,118,1.322075,103.841087
307653,9,9,18,1.321876,103.843305
307654,0,53,53,1.32315,103.842054
307655,40,494,534,1.323225,103.842034
307656,4,270,274,1.323293,103.842045
307657,1,1,2,1.321176,103.836675
307658,23,326,349,1.323451,103.842096
307659,7,169,176,1.323512,103.842096
307660,46,58,104,1.323551,103.842114
307662,4,123,127,1.323634,103.84212
307663,39,13,52,1.32368,103.842108
307665,14,845,859,1.323777,103.842115
307666,127,726,853,1.323967,103.841456
307667,4,1,5,1.324301,103.841007
307668,72,7,79,1.324103,103.841024
307669,46,4,50,1.318448,103.843899
307670,6,17,23,1.324407,103.841263
307671,11,368,379,1.324384,103.841506
307672,48,1886,1934,1.324182,103.842211
307673,106,18989,19095,1.324793,103.841602
307674,248,44,292,1.324654,103.841361
307675,382,60,442,1.32534,103.840958
307676,90,5371,5461,1.325351,103.841441
307677,2976,1274,4250,1.325389,103.841475
307678,4,16,20,1.325364,103.841472
307679,0,55,55,1.32648,103.841291
307682,470,2581,3051,1.317722,103.844904
307683,6986,2340,9326,1.319826,103.843998
307684,2529,69775,72304,1.319831,103.843998
307685,523,1366,1889,1.319319,103.844186
307686,166,40,206,1.324615,103.841125
307687,117,52,169,1.324811,103.840862
307689,92,10,102,1.32124,103.841592
307690,123,144,267,1.299509,103.837
307701,28,19,47,1.326339,103.839977
307702,10,8,18,1.326261,103.840002
307703,30,1,31,1.32641,103.840168
307704,33,7,40,1.32645,103.840335
307705,11,0,11,1.326314,103.840241
307706,2,0,2,1.323382,103.842103
307707,3,3,6,1.326439,103.840701
307708,5,7,12,1.325942,103.840859
307709,31,1,32,1.325896,103.840673
307710,6,30,36,1.325812,103.840465
307711,7,2,9,1.326075,103.841009
307712,39,30,69,1.32576,103.84028
307713,1,7,8,1.325991,103.841142
307714,20,13,33,1.32605,103.841453
307715,13,342,355,1.325938,103.841479
307716,4,0,4,1.325894,103.841299
307717,99,3,102,1.325861,103.841129
307718,109,3,112,1.325805,103.840937
307719,2,0,2,1.326474,103.840905
307720,39,16,55,1.325629,103.840337
307721,228,1,229,1.326357,103.840439
307722,0,2,2,1.325725,103.840654
307723,107,6,113,1.326337,103.840946
307724,6,408,414,1.326148,103.841447
307725,38,1,39,1.326184,103.840975
307726,3,29,32,1.325762,103.841472
307727,7,14,21,1.299509,103.837
307740,342,1591,1933,1.316232,103.84173
307741,11,89,100,1.316232,103.84173
307742,48,740,788,1.316124,103.841692
307743,219,182,401,1.316213,103.841892
307745,126,71,197,1.316066,103.841914
307746,383,260,643,1.316148,103.842156
307747,80,101,181,1.31611,103.842261
307748,114,68,182,1.316021,103.842127
307750,186,195,381,1.315989,103.842248
307753,1,14,15,1.316001,103.842355
307754,32,44,76,1.315853,103.843197
307755,2,35,37,1.315938,103.842375
307758,2,139,141,1.315755,103.843096
307759,2,0,2,1.326369,103.84051
307760,17,0,17,1.315691,103.843302
307761,2,206,208,1.315877,103.842686
307762,1318,88,1406,1.315268,103.84239
307780,721,95,816,1.314487,103.84478
307781,276,18,294,1.314389,103.844664
307785,3,91,94,1.314365,103.84403
307786,298,327,625,1.314432,103.844255
307787,1,6,7,1.314385,103.844263
307788,335,36,371,1.314336,103.844173
307807,8,518,526,1.318414,103.846943
307808,11,499,510,1.318278,103.846997
307809,79,6,85,1.318157,103.847008
307810,11,9,20,1.31802,103.847035
307811,69,8,77,1.318098,103.846968
307813,8,194,202,1.318556,103.847036
307814,1,4,5,1.318543,103.847039
307815,35,1,36,1.318531,103.847041
307816,0,1,1,1.318276,103.843971
307817,1,0,1,1.318518,103.847044
307818,0,37,37,1.318022,103.847143
307819,9,2,11,1.318494,103.847049
307820,22,3,25,1.318031,103.847191
307821,4,23,27,1.318481,103.847051
307822,7,3,10,1.31848,103.84705
307823,31,7,38,1.318049,103.847288
307824,37,6,43,1.318067,103.847385
307825,29,4,33,1.318456,103.847056
307826,1,19,20,1.318085,103.847482
307827,49,20,69,1.318444,103.847059
307829,6,6,12,1.318138,103.847773
307830,2,0,2,1.315726,103.843201
307831,0,6,6,1.318155,103.847869
307833,1,0,1,1.318506,103.847046
307834,55,52,107,1.318438,103.848277
307835,3,2,5,1.318282,103.848548
307836,1,7,8,1.318299,103.848645
307837,14,18,32,1.318317,103.848742
307838,0,4,4,1.318353,103.848935
307839,3,24,27,1.318389,103.849129
307841,1,14,15,1.318407,103.849226
307842,100,24,124,1.318425,103.849323
307843,1,31,32,1.318443,103.84942
307845,47,3,50,1.31846,103.849516
307846,95,8,103,1.318478,103.849614
307847,6,6,12,1.318496,103.84971
307848,3,40,43,1.318532,103.849904
307849,0,25,25,1.31855,103.850001
307850,1,2,3,1.318273,103.843972
307851,1,79,80,1.318577,103.850198
307852,4,58,62,1.318558,103.850475
307853,3,72,75,1.318535,103.850583
307854,3,403,406,1.318651,103.849336
307855,9,6,15,1.318627,103.849478
307856,59,21,80,1.318702,103.84969
307857,0,5,5,1.318342,103.847891
307858,1,1,2,1.318156,103.84787
307876,15,13,28,1.324934,103.838138
307877,25,0,25,1.32476,103.838127
307878,148,8,156,1.324826,103.838189
307879,25,7,32,1.324672,103.838195
307880,43,1,44,1.324485,103.838155
307881,95,9,104,1.32458,103.838123
307882,29,1,30,1.32436,103.838105
307883,9,1,10,1.324472,103.838105
307903,74,1014,1088,1.321034,103.842393
307904,5,422,427,1.321034,103.842444
307905,2,1,3,1.318568,103.850098
307906,0,90,90,1.321094,103.842555
307908,20,21,41,1.321129,103.842658
307910,27,2,29,1.321172,103.842769
307911,3,7,10,1.32118,103.842828
307912,67,2,69,1.321206,103.842897
307913,9,81,90,1.321249,103.842965
307914,2,1,3,1.321051,103.842487
307915,0,19,19,1.321301,103.843093
307916,1,3,4,1.321335,103.843161
307917,3,60,63,1.321352,103.843221
307918,0,3,3,1.321275,103.843025
307919,1,8,9,1.321416,103.843326
307920,20,985,1005,1.321433,103.843372
307921,37,40,77,1.321456,103.843423
307922,2,71,73,1.321479,103.843474
307923,72,21977,22049,1.32149,103.843525
307943,1580,722,2302,1.313917,103.839665
307944,44,960,1004,1.314528,103.839689
307945,1618,1101,2719,1.314812,103.840148
307947,775,643,1418,1.313604,103.839798
307948,247,8,255,1.314613,103.839526
307951,151,63,214,1.315193,103.839975
307953,1616,685,2301,1.314627,103.841302
307954,403,3600,4003,1.314708,103.840682
307955,1439,415,1854,1.315028,103.840799
307956,763,2227,2990,1.315376,103.841282
307957,214,62,276,1.315696,103.841686
307959,0,23,23,1.316152,103.840403
307960,0,1,1,1.318192,103.848063
307962,3,134,137,1.316245,103.841127
307963,4,407,411,1.316386,103.84124
307964,1176,7977,9153,1.316825,103.841912
307965,61,6072,6133,1.316604,103.841276
307966,290,1601,1891,1.317183,103.84105
307968,71,3972,4043,1.317556,103.841209
307970,40,2,42,1.318051,103.841281
307971,67,553,620,1.318225,103.841479
307983,585,11003,11588,1.31873,103.843146
307984,4,8,12,1.316244,103.841126
307985,2,191,193,1.316244,103.841126
307986,2,103,105,1.316244,103.841126
307987,3733,6005,9738,1.319597,103.842258
307988,7,382,389,1.316385,103.841239
307989,589,3962,4551,1.314287,103.841141
307990,1613,160,1773,1.314808,103.841959
307991,2332,1512,3844,1.317523,103.841834
307992,2147,192,2339,1.316781,103.842515
307993,27,2931,2958,1.317163,103.842378
307994,1746,951,2697,1.317987,103.842058
307995,188,1436,1624,1.314218,103.840682
307996,110,23033,23143,1.320737,103.835621
307997,2344,290,2634,1.315004,103.83999
308003,5,2,7,1.322206,103.834116
308004,6,5,11,1.32205,103.834154
308005,89,2,91,1.322165,103.834131
308006,7,0,7,1.32195,103.834216
308007,0,2,2,1.318343,103.847973
308008,1,0,1,1.316453,103.84051
308009,1,2,3,1.321393,103.843269
308011,60,0,60,1.322022,103.834209
308012,0,1,1,1.321926,103.834228
308013,108,1,109,1.321967,103.834238
308014,12,0,12,1.321843,103.834273
308015,3,0,3,1.322071,103.834182
308035,148,22,170,1.321097,103.83681
308036,7,6,13,1.321366,103.836652
308037,36,0,36,1.321396,103.836658
308038,42,14,56,1.321525,103.836643
308040,3,1,4,1.321638,103.836335
308041,0,1,1,1.321872,103.834253
308042,34,25,59,1.322219,103.836568
308043,26,19,45,1.322223,103.836524
308044,17,1,18,1.322333,103.836375
308045,106,0,106,1.322347,103.836324
308046,16,2,18,1.322371,103.836263
308047,9,0,9,1.322602,103.835906
308048,9,4,13,1.322056,103.83586
308051,3,3,6,1.322795,103.835665
308053,25,0,25,1.322659,103.834775
308054,13,0,13,1.322536,103.834454
308056,0,7,7,1.322258,103.834095
308058,1,0,1,1.322248,103.836507
308059,1,0,1,1.322294,103.836443
308060,92,1,93,1.322261,103.836441
308061,15,0,15,1.322267,103.836478
308062,28,0,28,1.322307,103.836416
308063,44,6,50,1.322509,103.835934
308064,100,0,100,1.322522,103.835868
308065,14,8,22,1.322551,103.835822
308066,235,0,235,1.32259,103.8358
308067,124,17,141,1.322639,103.835773
308068,118,0,118,1.322514,103.833654
308069,2,0,2,1.322119,103.834158
308071,37,0,37,1.321045,103.836626
308072,9,0,9,1.320993,103.836589
308073,2,0,2,1.3211,103.836771
308074,8,0,8,1.321113,103.836491
308075,3,0,3,1.321869,103.834288
308076,26,906,932,1.319503,103.852021
308078,46,1052,1098,1.319144,103.850079
308079,1,30,31,1.319094,103.849816
308080,46,4113,4159,1.318942,103.849457
308081,27,1271,1298,1.318947,103.848952
308082,3,7,10,1.318894,103.848728
308083,116,571,687,1.318848,103.848575
308084,0,32,32,1.318802,103.848437
308085,3,286,289,1.318805,103.848301
308086,12,308,320,1.318731,103.84806
308087,107,631,738,1.319697,103.84792
308088,8,156,164,1.318703,103.847946
308089,412,222,634,1.318938,103.847747
308090,28,693,721,1.31852,103.847257
308091,368,620,988,1.318452,103.846747
308092,284,9,293,1.318406,103.846653
308093,28,265,293,1.318382,103.846392
308094,3,149,152,1.318382,103.846392
308095,266,1597,1863,1.318583,103.845507
308106,5,286,291,1.318692,103.847846
308107,1166,1261,2427,1.318602,103.845041
308108,664,2105,2769,1.318417,103.847735
308109,6,48,54,1.299509,103.837
308125,313,75,388,1.319628,103.846872
308129,10,25,35,1.319382,103.846651
308131,0,24,24,1.319379,103.846547
308133,609,35,644,1.319613,103.846341
308134,20,372,392,1.31929,103.846344
308135,0,22,22,1.319634,103.846291
308137,0,79,79,1.319695,103.846236
308138,2,112,114,1.319762,103.846179
308139,7,163,170,1.319803,103.846137
308140,8,900,908,1.319429,103.845991
308141,226,217,443,1.319883,103.846088
308142,28,5453,5481,1.319952,103.846026
308143,694,598,1292,1.31928,103.846886
308144,474,285,759,1.319314,103.846621
308162,1762,429,2191,1.323565,103.84994
308164,3,20,23,1.323746,103.84976
308165,0,9,9,1.323922,103.849569
308166,391,245,636,1.323826,103.849366
308167,1,8,9,1.324021,103.849481
308168,1,51,52,1.32401,103.849306
308169,1,19,20,1.32417,103.849329
308170,1,303,304,1.324317,103.849203
308172,457,10,467,1.324312,103.849006
308174,2,41,43,1.299509,103.837
308175,1,30,31,1.299509,103.837
308176,0,5,5,1.299509,103.837
308178,19,22,41,1.325037,103.848268
308179,1,8,9,1.325087,103.848219
308180,1,12,13,1.325158,103.848154
308181,0,3,3,1.321137,103.836518
308182,1,19,20,1.325284,103.848011
308183,2,167,169,1.325317,103.847956
308184,152,39,191,1.325315,103.848424
308185,168,20,188,1.325456,103.848193
308186,471,132,603,1.323338,103.850173
308205,1573,4378,5951,1.320073,103.849139
308206,8,199,207,1.321063,103.849499
308208,1184,517,1701,1.32244,103.849057
308214,1472,600,2072,1.32319,103.849128
308215,593,415,1008,1.323353,103.849253
308216,956,188,1144,1.323531,103.849254
308217,10,197,207,1.3234,103.84943
308225,778,104,882,1.324107,103.84975
308226,0,18,18,1.324107,103.84975
308227,233,337,570,1.324284,103.84996
308228,2,5,7,1.324284,103.84996
308231,57,20,77,1.324608,103.850328
308232,1422,387,1809,1.321838,103.848875
308251,2,4,6,1.324013,103.834969
308252,14,0,14,1.32404,103.834974
308253,26,4,30,1.323426,103.834319
308254,38,263,301,1.324899,103.833762
308255,99,100,199,1.324877,103.833767
308256,18,6,24,1.324718,103.833177
308257,47,22,69,1.324695,103.833153
308258,57,20,77,1.324401,103.83271
308259,308,162,470,1.325289,103.83174
308260,89,10,99,1.324205,103.832629
308261,25,3,28,1.324628,103.831846
308262,0,10,10,1.32401,103.831508
308263,622,9,631,1.323409,103.831223
308264,6,18,24,1.323734,103.83086
308265,20,9,29,1.323911,103.830676
308266,212,13,225,1.323579,103.83038
308267,163,6,169,1.32442,103.831096
308268,24,16,40,1.324206,103.830221
308269,84,0,84,1.32554,103.830384
308270,5,4,9,1.322754,103.829092
308271,8,7,15,1.322294,103.828733
308272,0,17,17,1.322201,103.827902
308273,34,39,73,1.3225,103.827445
308274,563,6,569,1.322914,103.828591
308275,14,4,18,1.32217,103.827174
308276,1,5,6,1.321765,103.826744
308278,3,133,136,1.324436,103.834385
308296,26,4,30,1.324534,103.83006
308297,76,65,141,1.324993,103.830322
308298,19,62,81,1.325005,103.8297
308299,0,11,11,1.325026,103.829691
308300,50,2,52,1.324941,103.829043
308301,27,5,32,1.324943,103.829015
308302,60,14,74,1.324943,103.829022
308322,553,1528,2081,1.318842,103.845943
308323,264,2863,3127,1.319145,103.845879
308342,3364,1608,4972,1.314224,103.84357
308343,281,6,287,1.31434,103.843747
308345,1142,74,1216,1.314849,103.843471
308346,285,139,424,1.314693,103.842779
308347,443,116,559,1.314486,103.842747
308349,462,338,800,1.314917,103.842741
308353,1282,560,1842,1.314762,103.842807
308362,580,258,838,1.316258,103.843161
308363,664,233,897,1.31491,103.843028
308364,3566,93,3659,1.314442,103.843166
308365,1019,1128,2147,1.313759,103.842678
308366,2472,132,2604,1.315161,103.84354
308380,1138,29301,30439,1.317164,103.843018
308381,1067,5266,6333,1.31741,103.84288
308401,5,2831,2836,1.313965,103.845034
308402,0,335,335,1.313975,103.845078
308404,11,23,34,1.313934,103.844857
308405,6,8,14,1.313884,103.844528
308409,1433,450,1883,1.313439,103.841163
308410,4,11,15,1.299509,103.837
308414,1828,632,2460,1.313536,103.842067
308433,8313,12701,21014,1.321097,103.84564
308434,18,327,345,1.320011,103.84804
308436,546,3617,4163,1.320539,103.849128
308437,134,962,1096,1.320537,103.849123
308438,181,144,325,1.323714,103.847153
308439,3,42,45,1.325373,103.847514
308440,133,1640,1773,1.320537,103.847773
308441,1024,81275,82299,1.322189,103.846468
308455,41,22,63,1.319168,103.837347
308456,19,43,62,1.319046,103.837479
308457,1,2,3,1.325219,103.848083
308458,104,1,105,1.319005,103.837788
308459,2,6,8,1.318889,103.837803
308462,6,2,8,1.318762,103.837568
308479,0,3,3,1.319065,103.837598
308480,0,4,4,1.323137,103.842508
308481,1,0,1,1.322245,103.836478
308482,0,1,1,1.323263,103.842468
308483,11,1,12,1.323361,103.842472
308485,2,1,3,1.323162,103.842468
308486,3,0,3,1.32345,103.842466
308487,75,0,75,1.323503,103.842469
308488,50,0,50,1.323372,103.842525
308491,12,0,12,1.323665,103.842487
308492,2,6,8,1.323578,103.842525
308494,11,1,12,1.323635,103.842536
308495,0,2,2,1.320978,103.836529
308496,1,0,1,1.3232,103.842513
308497,0,2,2,1.323804,103.842504
308498,1,0,1,1.323716,103.842554
308499,14,0,14,1.323914,103.842539
308500,2,1,3,1.323338,103.842513
308501,1,1,2,1.323862,103.842521
308503,0,1,1,1.323802,103.842577
308505,10,84,94,1.324118,103.842571
308506,12,4,16,1.324117,103.842633
308526,4,4,8,1.323216,103.843057
308527,7,3,10,1.323199,103.843109
308528,1,4,5,1.323176,103.84316
308529,6,18,24,1.323217,103.842986
308530,2,4,6,1.323159,103.843211
308531,2,0,2,1.323994,103.84255
308533,9,4,13,1.323119,103.843313
308536,2,0,2,1.323142,103.843262
308537,4,0,4,1.323055,103.843458
308538,9,0,9,1.323032,103.84352
308539,5,1,6,1.323009,103.843583
308559,1,5,6,1.322902,103.843558
308560,5,1,6,1.32282,103.843528
308561,14,3,17,1.322748,103.843516
308562,1,0,1,1.324049,103.84256
308563,36,0,36,1.322638,103.843459
308564,0,4,4,1.322609,103.843489
308565,28,0,28,1.322572,103.843438
308566,0,1,1,1.322688,103.843495
308567,1,2,3,1.323916,103.842582
308569,1,0,1,1.322549,103.843483
308570,5,2,7,1.322462,103.843427
308571,0,1,1,1.322465,103.843393
308572,9,1,10,1.322405,103.843399
308573,15,2,17,1.322363,103.843341
308574,5,2,7,1.322347,103.843376
308575,2,2,4,1.322322,103.843335
308577,13,0,13,1.322279,103.843316
308579,50,28,78,1.322234,103.843291
308580,9,3,12,1.322187,103.843319
308581,13,0,13,1.322182,103.843264
308582,7,176,183,1.322135,103.843302
308583,36,5,41,1.322128,103.843239
308584,1,7,8,1.322783,103.84349
308585,1,0,1,1.322411,103.843369
308603,131,904,1035,1.32295,103.842208
308604,40,86,126,1.322889,103.842202
308605,102,54,156,1.322796,103.842196
308606,7,41,48,1.322748,103.84219
308607,58,24,82,1.322676,103.842193
308608,10,25,35,1.32261,103.842193
308609,5,32,37,1.322538,103.842193
308610,10,16,26,1.322481,103.842178
308611,73,12,85,1.3224,103.842181
308612,3,28,31,1.322349,103.842175
308613,2,69,71,1.322277,103.842166
308614,13,608,621,1.322223,103.842175
308615,1,2,3,1.322518,103.843417
308616,7,1,8,1.322999,103.842619
308617,63,1,64,1.322987,103.842767
308618,1,7,8,1.322964,103.842924
308638,5,2,7,1.322733,103.8428
308639,132,2,134,1.322611,103.842773
308640,0,10,10,1.322821,103.842845
308641,4,3,7,1.322645,103.842791
308642,4,2,6,1.323087,103.842928
308645,1,0,1,1.322697,103.843471
308646,1,1,2,1.323072,103.843406
308647,11,1,12,1.323557,103.843007
308648,0,9,9,1.323626,103.84301
308649,1,0,1,1.32338,103.842984
308650,0,14,14,1.323689,103.843151
308651,11,9,20,1.323712,103.843133
308652,1,33,34,1.323666,103.843199
308655,2,0,2,1.323491,103.843
308656,1,8,9,1.323629,103.843305
308657,3,0,3,1.323006,103.842546
308658,1,5,6,1.323606,103.843369
308659,1,0,1,1.323717,103.843019
308660,9,0,9,1.323587,103.843422
308661,3,1,4,1.323668,103.843261
308662,3,4,7,1.32357,103.843474
308663,51,0,51,1.323659,103.843291
308664,35,17,52,1.323554,103.843534
308665,10,1,11,1.323649,103.843319
308666,19,0,19,1.323529,103.843586
308667,34,0,34,1.32364,103.843342
308668,3,5,8,1.323515,103.843639
308669,13,0,13,1.323634,103.843366
308670,18,0,18,1.323621,103.843403
308671,3,0,3,1.323685,103.843209
308672,7,0,7,1.323601,103.843469
308673,36,1,37,1.323588,103.843499
308674,54,3,57,1.322885,103.842872
308675,1,2,3,1.323612,103.843435
308676,0,3,3,1.322756,103.842842
308677,3,0,3,1.322803,103.842857
308678,1,2,3,1.322835,103.842876
308680,7,2,9,1.322936,103.842915
308681,1,7,8,1.322966,103.842936
308693,1,271,272,1.323039,103.841497
308694,10,550,560,1.323089,103.841414
308695,3,39,42,1.323189,103.841247
308696,47,13,60,1.323239,103.841183
308697,147,60,207,1.323239,103.841163
308698,0,5,5,1.323137,103.840839
308699,1,1,2,1.323695,103.843184
308700,1,0,1,1.323678,103.843238
308701,8,2,10,1.32312,103.840832
308702,0,2,2,1.32322,103.840996
308703,127,2,129,1.323021,103.840667
308704,0,2,2,1.323114,103.840464
308705,1,0,1,1.322971,103.840565
308706,0,9,9,1.32352,103.840227
308707,18,0,18,1.323134,103.840433
308708,12,15,27,1.32356,103.840324
308709,0,3,3,1.322868,103.842893
308710,6,1,7,1.32361,103.840432
308711,57,1,58,1.323443,103.840252
308712,1,3,4,1.323632,103.840541
308713,43,0,43,1.32351,103.840217
308714,9,1,10,1.323694,103.840676
308715,1,4,5,1.323572,103.840175
308716,0,2,2,1.323385,103.840306
308717,2,2,4,1.323623,103.840143
308718,17,7,24,1.323726,103.840078
308719,5,2,7,1.323831,103.840862
