PICKUP_POSTCODE,No_Jobs,No_trips,total_trips,Latitude,Longitude
039596,4409,46009,50418,1.291601,103.860166
039597,15,936,951,1.29146,103.861404
039797,4595,45878,50473,1.290653,103.858342
039799,4055,56494,60549,1.352083,103.819836
039800,139,2774,2913,1.28968,103.857852
039801,6,421,427,1.290272,103.859058
039802,5519,57109,62628,1.289825,103.855015
039804,1909,33494,35403,1.28909,103.862314
039805,240,2334,2574,1.28959,103.859028
048416,4872,11611,16483,1.282081,103.848738
048421,48,681,729,1.284184,103.84675
048422,289,239,528,1.283745,103.847478
048423,13347,10817,24164,1.283384,103.846868
048424,8127,6890,15017,1.282132,103.848925
048441,354,5283,5637,1.282983,103.849122
048458,194,10398,10592,1.282951,103.84888
048460,17,193,210,1.282959,103.848884
048462,23,1783,1806,1.28291,103.848863
048464,1782,28640,30422,1.282919,103.848868
048465,1,1099,1100,1.282928,103.848874
048466,13,779,792,1.290903,103.839877
048467,1,649,650,1.282642,103.848686
048468,5,1129,1134,1.282614,103.84867
048470,36,0,36,1.282688,103.848719
048471,3,1,4,1.282653,103.84869
048472,23,376,399,1.282671,103.848707
048473,0,681,681,1.282662,103.848698
048474,11,677,688,1.282469,103.848576
048508,177,3318,3495,1.285611,103.848893
048542,1654,3378,5032,1.281966,103.851059
048543,35,1693,1728,1.282344,103.85092
048544,61,650,711,1.282237,103.85083
048545,27,704,731,1.282183,103.850799
048546,31,2252,2283,1.281739,103.85048
048547,25,962,987,1.281944,103.85094
048580,10251,33699,43950,1.281712,103.851423
048581,2144,9570,11714,1.281304,103.850834
048582,2049,18106,20155,1.280725,103.850442
048583,44801,25454,70255,1.281142,103.851928
048616,16509,17518,34027,1.284479,103.851082
048617,4474,6899,11373,1.283426,103.851155
048618,277,4342,4619,1.284496,103.851421
048619,21323,5307,26630,1.283242,103.850837
048620,240,4131,4371,1.283509,103.852106
048621,467,4943,5410,1.283847,103.852123
048622,691,3719,4410,1.284255,103.85173
048623,3633,16657,20290,1.284542,103.851951
048624,19432,20783,40215,1.285361,103.85054
048625,242,7600,7842,1.283353,103.851483
048658,64,5721,5785,1.285074,103.848305
048659,3000,10760,13760,1.284748,103.847611
048660,70,49,119,1.284855,103.847664
048692,1249,3223,4472,1.284972,103.849975
048693,2521,2865,5386,1.284752,103.849941
048694,50,1017,1067,1.284527,103.849722
048695,230,1775,2005,1.28441,103.849737
048696,73,990,1063,1.28435,103.849584
048738,21,1905,1926,1.283594,103.848767
048744,6,308,314,1.283621,103.848748
048745,2,46,48,1.283678,103.848706
048749,29,197,226,1.283789,103.848631
048752,3,127,130,1.283693,103.848684
048753,2,17,19,1.283704,103.848677
048754,2,87,89,1.283732,103.848651
048755,12,214,226,1.283779,103.848612
048761,52,173,225,1.283605,103.848456
048765,3,0,3,1.263612,103.822475
048767,0,37,37,1.28362,103.848445
048768,1,0,1,1.264073,103.821841
048769,1,0,1,1.283614,103.84845
048771,0,123,123,1.283645,103.848428
048772,46,1959,2005,1.283203,103.84884
048774,0,1018,1018,1.28323,103.848817
048776,0,2,2,1.283237,103.848811
048777,9,7,16,1.283219,103.848822
048778,0,949,949,1.283186,103.848845
048780,3,1,4,1.283203,103.848833
048781,3,0,3,1.283211,103.848827
048782,0,473,473,1.2832,103.848836
048815,510,12325,12835,1.285844,103.849197
048816,20,1292,1312,1.285858,103.849163
048817,14,1266,1280,1.285884,103.849102
048818,11,1129,1140,1.285922,103.849022
048819,21,1004,1025,1.285943,103.848974
048820,32,659,691,1.285972,103.848924
048821,24,764,788,1.285996,103.848882
048822,5,479,484,1.286018,103.848836
048823,32,876,908,1.286046,103.848795
048824,195,730,925,1.286075,103.848738
048825,85,878,963,1.286093,103.848703
048826,90,2252,2342,1.286118,103.848662
048827,69,3202,3271,1.286167,103.848582
048828,28,2158,2186,1.286196,103.848515
048829,121,3206,3327,1.286277,103.848333
048830,36,712,748,1.286297,103.848296
048831,5,694,699,1.28631,103.848266
048832,11,455,466,1.286336,103.848215
048833,13,800,813,1.286357,103.848174
048834,280,816,1096,1.286492,103.847959
048867,5,12,17,1.284516,103.846947
048868,0,2,2,1.284494,103.846992
048869,0,1,1,1.284466,103.847033
048871,1,2,3,1.284417,103.847094
048872,1,2,3,1.284405,103.847111
048873,1,2,3,1.284385,103.847139
048874,1,1,2,1.284372,103.84716
048875,3,2,5,1.284338,103.847211
048876,0,2,2,1.284317,103.847242
048877,7,1,8,1.284297,103.847269
048878,1,1,2,1.28426,103.847337
048879,3,3,6,1.284243,103.847364
048880,1,2,3,1.284225,103.847401
048881,0,3,3,1.284195,103.84745
048882,1,1,2,1.284181,103.847468
048883,3,2,5,1.284149,103.847522
048884,2,1,3,1.284139,103.847546
048885,7,1,8,1.284125,103.847574
048886,4,2,6,1.284108,103.847615
048887,6,2,8,1.284071,103.847675
048888,1,2,3,1.28405,103.847708
048889,6,8,14,1.284006,103.847766
048890,1,15,16,1.283981,103.8478
048891,2,3,5,1.283991,103.847786
048940,7947,4720,12667,1.284013,103.850272
048941,478,10171,10649,1.284513,103.850633
048942,2084,6496,8580,1.284318,103.850605
048943,1076,811,1887,1.282133,103.850408
048944,18,795,813,1.28202,103.850427
048945,5686,4231,9917,1.281704,103.850269
048946,15999,2065,18064,1.281901,103.849939
048979,198,2578,2776,1.283915,103.850606
048980,1776,2320,4096,1.283897,103.850827
049014,433,785,1218,1.287103,103.848802
049015,14,847,861,1.287069,103.848785
049016,9,998,1007,1.287046,103.848768
049017,21,395,416,1.287023,103.84875
049018,13,129,142,1.286971,103.848728
049019,10,92,102,1.286914,103.848722
049020,20,35,55,1.286863,103.848722
049021,0,24,24,1.286828,103.848705
049022,6,18,24,1.286794,103.848699
049023,40,26,66,1.286748,103.848665
049024,0,19,19,1.286694,103.848637
049025,1,49,50,1.286651,103.848608
049026,3,59,62,1.286616,103.84858
049027,18,60,78,1.286593,103.848563
049028,25,232,257,1.286553,103.84854
049030,1,147,148,1.286474,103.848626
